id,name,duration,artist_id,artist_name,album_id,album_name,releasedate,lang,vocalinstrumental,gender,acousticelectric,speed,genres,instruments,vartags,rate_downloads_total,rate_listened_total,playlisted,favorited,likes,dislikes,avgnote,duration_log_scaled,rate_downloads_total_log_scaled,rate_listened_total_log_scaled,likes_log_scaled,dislikes_log_scaled,playlisted_scaled,favorited_scaled,avgnote_scaled
1000957,Key to Success - Discover the Possibility,170,375935,Akashic Records,117782,Corporate Presentation - Key To Success,2013-01-20,,instrumental,neutral,electric,medium,"corporate, filmscore, poprock","guitar, strings","motivational, happy, film",136505,598523,1999,843,27,1,8.2857,-0.9388401164775059,0.9562497096794965,0.36960732719138917,1.3812026125166377,0.5959572478189147,0.6784775482591344,0.1579610549587068,0.3564867230898893
1001519,In Your Face,201,1333,Brad Sucks,117853,Guess Who's a Mess,2013-01-22,,vocal,male,,medium,,,,91080,518129,270,151,20,1,8.6667,-0.3841261145297274,0.6504291922448653,0.2212096680316181,1.1559237645725349,0.5959572478189147,-0.5682691222534574,-0.5552401851219029,0.5525295535353988
1002052,Feel Good Acoustic Ukulele,213,375935,Akashic Records,117912,Optimistic Acoustic Ukulele,2013-01-23,,instrumental,neutral,electric,medium,"pop, folk, filmscore","strings, ukulele","happy, advertising, peaceful",123720,406731,1490,744,78,1,8.9231,-0.19198436078714862,0.8819224467685584,-0.027838859390403578,2.193449907586988,0.5959572478189147,0.31144801946161604,0.05592792957145194,0.684459689299778
1007842,Heaven by Bruno Susio (feat. Marie Louise Frifelt),263,365833,Jazz Friends,118676,Jazz Friends 2013 - Guitars in Jazz,2013-02-14,,vocal,female,,medium,jazz,"drums, electricguitar","vocal, upbeat, voice, loungejazz",15935,186017,81,29,6,0,8.0,0.5071279865210975,-0.6670972673721265,-0.8326972027216804,0.2956195105774615,-0.59732943765587,-0.704553171256858,-0.6809779760031665,0.20948032766132743
1007988,Do or Die,240,367351,Fall Walk Run,118643,Piece By Piece,2013-02-12,,vocal,male,,medium,rock,,"vocal, voice",195521,732900,626,338,73,4,8.3333,0.20363382039046252,1.2278201078112716,0.5779889346681566,2.1422498013147746,2.173396442603052,-0.3115647759825015,-0.36251094827931035,0.38097921319279243
1007991,Runaway,186,367351,Fall Walk Run,118643,Piece By Piece,2013-02-12,,vocal,,,medium,,,,25240,243867,193,103,17,1,5.75,-0.6410298272813199,-0.3195027228482189,-0.5541091884230199,1.035211037271442,0.5959572478189147,-0.6237922533289169,-0.6047107913702688,-0.9482529230011294
1009673,Endless Hours,168,7063,Fresh Body Shop,118858,Wizard,2013-02-19,en,vocal,male,electric,high,"rock, pop",,"acoustic, vocal, voice, neutral",10463,688604,162,74,5,1,8.0,-0.9780115459491681,-0.9850264865186216,0.5138493083456646,0.1749067832763688,0.5959572478189147,-0.646145721683972,-0.6345992826453233,0.20948032766132743
1011643,Daily Routine,270,421874,Kingston Blues,119118,Sailin',2013-02-27,,vocal,male,,medium,"funk, jazzfunk","electricguitar, drums","vocal, groovy, happy, voice, jazzy",8945,179388,38,13,0,0,8.0,0.5942609279680322,-1.1034898315633026,-0.8700298501595248,-1.2281890216882927,-0.59732943765587,-0.7355595951041927,-0.6974681780859551,0.20948032766132743
1013118,Wage War,210,344760,Circa Vitae,119336,Lovers EP,2013-03-06,,vocal,male,electric,medium,"rock, indie, pop",,"acoustic, vocal, voice",52097,609826,302,153,6,1,8.6667,-0.23899031471512344,0.2282094656715112,0.38885522353428836,0.2956195105774615,0.5959572478189147,-0.5451945742740456,-0.5531789098615543,0.5525295535353988
101464,Hello Black & White Bird,206,6079,The Old Dada Weatherman ,11348,The Dada Weatherman (In Airplane Trouble),2007-11-02,,vocal,male,acoustic,medium,"singersongwriter, pop","acousticguitar, strings","sentimental, acoustic, vocal, voice",26358,189390,87,48,0,0,9.0,-0.30271538148511135,-0.28674527622640844,-0.8142090580785963,-1.2281890216882927,-0.59732943765587,-0.7002266935107183,-0.6613958610298549,0.7240284390668638
