,uid,entropy,n_items,entropy_norm
0,100,5.907141755404972,491,0.9533115499110424
1,300,4.944389053015727,174,0.958390396351928
2,600,6.611230943624968,949,0.9643817222053233
3,700,6.730655226404071,1162,0.9536345362444012
4,800,6.874831307112027,1321,0.9566787161211909
5,900,4.399949866072568,128,0.9068265502775646
6,1000,6.55550295897005,745,0.9912478607777468
7,1100,7.033843527932234,1345,0.9763600451351035
8,1400,6.755846788276406,1046,0.9716827929850719
9,1500,5.494515133874037,266,0.9840635383303267
10,1600,6.974625054281142,1390,0.9637374835694656
11,1700,6.807469507994443,1036,0.980462260844034
12,1900,7.22486404836553,1724,0.9694677784315382
13,2000,6.019662129382458,460,0.9818039081916076
14,2100,6.2298976802616455,563,0.9836763961252075
15,2200,6.508641255856048,827,0.9688643167428515
16,2300,6.248291935347439,883,0.9211252225960088
17,2500,6.671217157751621,900,0.9807159669297723
18,2600,5.3665845831549674,271,0.9579562224123358
19,2700,4.832723931722732,260,0.8690884054155334
20,2800,6.722431031190877,1243,0.9434616063465878
21,2900,5.231513709497885,340,0.8975060075517977
22,3000,5.287990829225523,329,0.912342674385403
23,3200,4.477360905611474,113,0.9471109791096068
24,3400,5.624765823894483,367,0.9524845333139873
25,3600,5.240004690030627,337,0.9003316194522653
26,3700,6.381324458114368,1103,0.9108644922901669
27,3900,5.921514410596974,905,0.8697959747803926
28,4100,6.467192207068381,942,0.9443906579742609
29,4200,5.3073380826863845,434,0.8739172013123655
30,4300,5.926652754359431,543,0.941170377271076
31,4400,5.571608111951635,308,0.9723405041753581
32,4600,6.660926221088161,1042,0.9585587479549331
33,4800,5.167549041380596,191,0.9838690068545148
34,4900,6.033587875861443,701,0.9208058929314787
35,5000,6.994830527812859,1434,0.9623852360403918
36,5100,4.841907469986346,195,0.918245377457452
37,5200,5.771565908684721,450,0.9447261435217776
38,5500,5.732317573732152,434,0.9438951981242593
39,5700,2.963768079110427,80,0.6763464319588729
40,5900,5.346650048790632,481,0.8657326679721651
41,6300,5.968411323019658,596,0.9339885043422922
42,6500,5.132415590306043,338,0.8813970699230272
43,6600,5.73295343444013,446,0.9397792934321435
44,6700,3.9605425942517187,113,0.837786690267883
45,6800,5.629468450802971,341,0.9652918200479873
46,6900,4.374631378355772,148,0.8754143587862063
47,7000,5.092075588180399,187,0.9734218807412592
48,7100,6.523926131857522,1133,0.9276659593504111
49,7200,7.051296404334082,1429,0.9706205504721711
50,7300,6.060917750150223,447,0.9931764941183685
51,7400,6.013556759013474,1042,0.8653972805503
52,7500,6.393000064937792,885,0.9421439084411563
53,7700,6.7400206101981155,1239,0.9463583179893684
54,7800,7.118931101566885,1336,0.9890927464204282
55,7900,6.678355217527997,1028,0.9629413842436078
56,8000,7.072735757872613,1538,0.9638193273693901
57,8200,5.8069958507636,461,0.9467828127336775
58,8300,6.328524260294039,772,0.9518031231205758
59,8700,4.914202079540799,530,0.7834048195768066
60,8900,6.408969374122346,722,0.973707823789991
61,9000,4.327526495672967,401,0.7219810384428138
62,9100,6.460112327196436,733,0.9792283843828057
63,9200,5.732244597309414,395,0.9587479712290862
64,9300,4.655105732747815,158,0.9195097973231505
65,9600,6.8987772406315955,1685,0.9285628759396805
66,9800,6.044653417709679,597,0.945671433230052
67,9900,6.481026630199947,711,0.9869575038927502
68,10000,7.021386101349934,1291,0.9802062156597141
69,10300,6.457377868068403,680,0.9900775821343871
70,10400,5.999848890012159,509,0.962679331472852
71,10500,6.531858407941165,757,0.9852919742411572
72,10600,5.544722678115974,278,0.985269364461479
73,10700,5.707376839892698,457,0.9318647962077627
74,10800,6.766070246329514,1210,0.9531857132983113
75,10900,5.9643133232629,986,0.8651886628031221
76,11100,6.268680202580377,635,0.971342494126317
77,11200,4.588183808474824,239,0.837800482915038
78,11300,4.363761019165685,111,0.9265809608673284
79,11400,5.378514852597132,376,0.907063663692942
80,11500,6.156562250875183,480,0.9972101636278153
81,11600,5.765941021562298,320,0.9995874060695982
82,11700,6.51473198052226,778,0.9786690134947887
83,11800,6.166249059928236,566,0.9728102137242709
84,11900,5.910013501696271,827,0.8797536948453112
